date,pm25
2021/11/9,64
2021/11/10,59
2021/11/11,65
2021/11/12,61
2021/11/13,60
2021/11/14,57
2021/11/15,58
2021/11/16,49
2021/11/17,47
2021/11/18,52
2021/11/19,51
2021/11/20,54
2021/11/21,49
2021/11/22,46
2021/11/23,47
2021/11/24,52
2021/11/25,39
2021/11/26,46
2021/11/27,48
2021/11/28,38
2021/11/29,40
2021/11/30,36
2021/12/1,34
2021/12/2,34
2021/12/3,31
2021/12/13,8
2021/12/14,10
2021/12/15,9
2021/12/16,7
2021/12/17,7
2021/12/18,6
2021/12/19,6
2021/12/20,3
2021/12/21,2
2021/12/22,2
2021/12/23,2
2021/12/24,1
2021/12/25,1
2021/12/26,1
2021/12/27,1
2021/12/28,1
2021/12/29,1
2021/12/30,1
2021/12/31,1
2022/1/1,1
2022/1/2,1
2021/7/1,91
2021/7/2,95
2021/7/3,104
2021/7/4,87
2021/7/5,91
2021/7/6,89
2021/7/7,113
2021/7/8,107
2021/7/9,104
2021/7/10,99
2021/7/11,112
2021/7/12,118
2021/7/13,123
2021/7/14,123
2021/7/15,125
2021/7/16,127
2021/7/17,129
2021/7/18,129
2021/7/19,123
2021/7/20,120
2021/7/21,124
2021/7/22,130
2021/7/23,133
2021/7/24,127
2021/7/25,131
2021/7/26,127
2021/7/27,138
2021/7/28,139
2021/7/29,148
2021/7/30,147
2021/7/31,146
2021/8/1,150
2021/8/2,150
2021/8/3,148
2021/8/4,149
2021/8/5,151
2021/8/6,151
2021/8/7,152
2021/8/8,152
2021/8/9,150
2021/8/10,152
2021/8/11,152
2021/8/12,152
2021/8/13,150
2021/8/14,150
2021/8/15,150
2021/8/16,150
2021/8/17,151
2021/8/18,151
2021/8/19,151
2021/8/20,151
2021/8/21,150
2021/8/22,151
2021/8/23,153
2021/8/24,146
2021/8/25,148
2021/8/26,151
2021/8/27,148
2021/8/28,148
2021/8/29,147
2021/8/30,148
2021/8/31,143
2021/9/1,144
2021/9/3,154
